date,rank,ticker,name,users,is_excluded
2026-04-28,1,NVDA,Nvidia,775912,0
2026-04-28,2,MSFT,Microsoft,657839,0
2026-04-28,3,VUAG,Vanguard S&P 500 (Acc),647965,1
2026-04-28,4,AAPL,Apple,637886,0
2026-04-28,5,AMZN,Amazon,515056,0
2026-04-28,6,TSLA,Tesla,491096,0
2026-04-28,7,META,Meta Platforms,421582,0
2026-04-28,8,GOOGL,Alphabet (Class A),416068,0
2026-04-28,9,VWRP,Vanguard FTSE All-World (Acc),402446,1
2026-04-28,10,VUSA,Vanguard S&P 500 (Dist),346513,1
2026-04-28,11,SGLN,iShares Physical Gold,297540,1
2026-04-28,12,RR.L,Rolls-Royce,287141,0
2026-04-28,13,KO,Coca-Cola,280583,0
2026-04-28,14,PLTR,Palantir,279909,0
2026-04-28,15,IBM,IBM,260691,0
2026-04-28,16,O,Realty Income,253275,0
2026-04-28,17,JNJ,Johnson & Johnson,224909,0
2026-04-28,18,JPM,JPMorgan Chase & Co,224687,0
2026-04-28,19,MCD,McDonald's,221960,0
2026-04-28,20,AMD,Advanced Micro Devices,221460,0
2026-04-28,21,CSCO,Cisco Systems,212597,0
2026-04-28,22,CVX,Chevron,210616,0
2026-04-28,23,PEP,PepsiCo,201246,0
2026-04-28,24,AVGO,Broadcom,199683,0
2026-04-28,25,BP.L,BP,194539,0
2026-04-28,26,MA,Mastercard,193781,0
2026-04-28,27,WMT,Walmart,192807,0
2026-04-28,28,PG,Procter & Gamble,191891,0
2026-04-28,29,MAIN,Main Street Capital,177651,0
2026-04-28,30,AGNC,AGNC Investment,173047,0
2026-04-29,1,NVDA,Nvidia,777537,0
2026-04-29,2,MSFT,Microsoft,659132,0
2026-04-29,3,VUAG,Vanguard S&P 500 (Acc),649219,1
2026-04-29,4,AAPL,Apple,638590,0
2026-04-29,5,AMZN,Amazon,515708,0
2026-04-29,6,TSLA,Tesla,491369,0
2026-04-29,7,META,Meta Platforms,423373,0
2026-04-29,8,GOOGL,Alphabet (Class A),417019,0
2026-04-29,9,VWRP,Vanguard FTSE All-World (Acc),403733,1
2026-04-29,10,VUSA,Vanguard S&P 500 (Dist),346458,1
2026-04-29,11,SGLN,iShares Physical Gold,297789,1
2026-04-29,12,RR.L,Rolls-Royce,287751,0
2026-04-29,13,KO,Coca-Cola,280946,0
2026-04-29,14,PLTR,Palantir,280275,0
2026-04-29,15,IBM,IBM,261248,0
2026-04-29,16,O,Realty Income,253600,0
2026-04-29,17,JNJ,Johnson & Johnson,225240,0
2026-04-29,18,JPM,JPMorgan Chase & Co,224909,0
2026-04-29,19,MCD,McDonald's,222451,0
2026-04-29,20,AMD,Advanced Micro Devices,222062,0
2026-04-29,21,CSCO,Cisco Systems,213000,0
2026-04-29,22,CVX,Chevron,210842,0
2026-04-29,23,PEP,PepsiCo,201506,0
2026-04-29,24,AVGO,Broadcom,200347,0
2026-04-29,25,BP.L,BP,194976,0
2026-04-29,26,MA,Mastercard,194186,0
2026-04-29,27,WMT,Walmart,193120,0
2026-04-29,28,PG,Procter & Gamble,192194,0
2026-04-29,29,MAIN,Main Street Capital,177939,0
2026-04-29,30,AGNC,AGNC Investment,173322,0
2026-04-30,1,NVDA,Nvidia,781253,0
2026-04-30,2,MSFT,Microsoft,661901,0
2026-04-30,3,VUAG,Vanguard S&P 500 (Acc),650562,1
2026-04-30,4,AAPL,Apple,639688,0
2026-04-30,5,AMZN,Amazon,516907,0
2026-04-30,6,TSLA,Tesla,491238,0
2026-04-30,7,META,Meta Platforms,428117,0
2026-04-30,8,GOOGL,Alphabet (Class A),417677,0
2026-04-30,9,VWRP,Vanguard FTSE All-World (Acc),404977,1
2026-04-30,10,VUSA,Vanguard S&P 500 (Dist),346463,1
2026-04-30,11,SGLN,iShares Physical Gold,298136,1
2026-04-30,12,RR.L,Rolls-Royce,287919,0
2026-04-30,13,KO,Coca-Cola,281282,0
2026-04-30,14,PLTR,Palantir,280557,0
2026-04-30,15,IBM,IBM,261802,0
2026-04-30,16,O,Realty Income,253879,0
2026-04-30,17,JNJ,Johnson & Johnson,225605,0
2026-04-30,18,JPM,JPMorgan Chase & Co,225156,0
2026-04-30,19,MCD,McDonald's,222863,0
2026-04-30,20,AMD,Advanced Micro Devices,222320,0
2026-04-30,21,CSCO,Cisco Systems,213478,0
2026-04-30,22,CVX,Chevron,211216,0
2026-04-30,23,PEP,PepsiCo,201773,0
2026-04-30,24,AVGO,Broadcom,201156,0
2026-04-30,25,BP.L,BP,195128,0
2026-04-30,26,MA,Mastercard,194843,0
2026-04-30,27,WMT,Walmart,193361,0
2026-04-30,28,PG,Procter & Gamble,192574,0
2026-04-30,29,MAIN,Main Street Capital,178175,0
2026-04-30,30,AGNC,AGNC Investment,173642,0
2026-05-01,1,NVDA,Nvidia,781514,0
2026-05-01,2,MSFT,Microsoft,662000,0
2026-05-01,3,VUAG,Vanguard S&P 500 (Acc),651517,1
2026-05-01,4,AAPL,Apple,639699,0
2026-05-01,5,AMZN,Amazon,516868,0
2026-05-01,6,TSLA,Tesla,491219,0
2026-05-01,7,META,Meta Platforms,428259,0
2026-05-01,8,GOOGL,Alphabet (Class A),417687,0
2026-05-01,9,VWRP,Vanguard FTSE All-World (Acc),406031,1
2026-05-01,10,VUSA,Vanguard S&P 500 (Dist),346576,1
2026-05-01,11,SGLN,iShares Physical Gold,298590,1
2026-05-01,12,RR.L,Rolls-Royce,288152,0
2026-05-01,13,KO,Coca-Cola,281282,0
2026-05-01,14,PLTR,Palantir,280569,0
2026-05-01,15,IBM,IBM,261821,0
2026-05-01,16,O,Realty Income,253861,0
2026-05-01,17,JNJ,Johnson & Johnson,225604,0
2026-05-01,18,JPM,JPMorgan Chase & Co,225144,0
